company,Company_Status,location,location_Status,industry,Industry_Status,total_laid_off,layoffs_Status,percentage_laid_off,Percentage_Status,date,Date_Status,year,Year_Status,Month,Month_Status,stage,country,funds_raised_millions,Funds_Status
ATSU,Reported,SEATTLE,Reported,INFRASTRUCTURE,Reported,6,Reported,1,Reported,10/04/2020,Reported,2020,Reported,4,Reported,UNKNOWN,UNITED STATES,1,Reported
ATTENTIVE,Reported,NEW YORK CITY,Reported,MARKETING,Reported,0,missing,0.15,Reported,05/01/2023,Reported,2023,Reported,1,Reported,SERIES E,UNITED STATES,863,Reported
AU10TIX,Reported,TEL AVIV,Reported,SECURITY,Reported,19,Reported,0.09,Reported,31/01/2023,Reported,2023,Reported,1,Reported,UNKNOWN,ISRAEL,80,Reported
AUGURY,Reported,NEW YORK CITY,Reported,MANUFACTURING,Reported,20,Reported,0.05,Reported,04/01/2023,Reported,2023,Reported,1,Reported,SERIES E,UNITED STATES,274,Reported
AURA,Reported,BOSTON,Reported,SECURITY,Reported,70,Reported,0.09,Reported,23/06/2022,Reported,2022,Reported,6,Reported,SERIES F,UNITED STATES,500,Reported
AURA FINANCIAL,Reported,SF BAY AREA,Reported,FINANCE,Reported,0,missing,0,missing,14/04/2020,Reported,2020,Reported,4,Reported,UNKNOWN,UNITED STATES,584,Reported
AURA FINANCIAL,Reported,SF BAY AREA,Reported,FINANCE,Reported,0,missing,1,Reported,11/01/2021,Reported,2021,Reported,1,Reported,UNKNOWN,UNITED STATES,584,Reported
AUTOBOOKS,Reported,DETROIT,Reported,FINANCE,Reported,0,missing,0,missing,10/12/2022,Reported,2022,Reported,12,Reported,SERIES C,UNITED STATES,97,Reported
AUTODESK,Reported,SF BAY AREA,Reported,OTHER,Reported,250,Reported,0.02,Reported,02/02/2023,Reported,2023,Reported,2,Reported,POST-IPO,UNITED STATES,0,missing
AUTOGRAPH,Reported,LOS ANGELES,Reported,CRYPTO,Reported,0,missing,0,missing,16/12/2022,Reported,2022,Reported,12,Reported,SERIES B,UNITED STATES,205,Reported
AUTOMATIC,Reported,SF BAY AREA,Reported,TRANSPORTATION,Reported,0,missing,1,Reported,01/05/2020,Reported,2020,Reported,5,Reported,ACQUIRED,UNITED STATES,24,Reported
